Image_Name,Seed,Area,Length,Width,Orientation,Circularity,Eccentricity
PI_109497_009,1,778,70.46860833,15.09562078,1.562333987,0.339328608,0.97678595
PI_109497_009,2,582,94.63989051,9.091375354,-1.497116679,0.167185702,0.995375273
PI_109497_009,3,107,37.65205527,6.154877777,-1.141353448,0.224705164,0.986548762
PI_109497_009,4,174,59.46449674,4.26838401,-1.334765727,0.1482104,0.997420462
PI_109497_009,5,110,39.42374057,4.104674029,1.510667632,0.244351144,0.994565076
PI_109497_009,6,337,86.44133366,6.287257601,1.496726863,0.147828307,0.997351347
PI_109497_009,7,252,57.6478965,6.790475378,1.243096897,0.182642902,0.99303826
PI_109497_009,8,353,83.78826,6.752260305,0.926365469,0.180832717,0.996747563
PI_109497_009,9,737,90.66384408,11.63650739,0.43297477,0.2175789,0.991729215
PI_109497_009,10,775,72.13434702,14.44305261,-1.378130637,0.312737136,0.979750075
PI_109497_009,11,524,70.34091761,9.847329065,0.150871236,0.267100309,0.990152306
PI_109497_009,12,589,93.98333143,11.95307177,1.493551464,0.132552615,0.991879283
PI_109497_009,13,462,69.63334889,11.13321975,0.320769793,0.146349948,0.987135899
PI_109497_009,14,481,62.76831991,12.64673617,1.054247069,0.21319418,0.979492055
PI_109497_009,15,416,53.52143883,15.93756197,1.11542325,0.158662574,0.954634826
PI_109497_009,16,657,76.41287392,11.65391327,1.540510655,0.270609681,0.988301552
PI_109497_009,17,767,84.36329978,14.28285314,-1.156702264,0.153268178,0.985564266
PI_109497_009,18,289,73.74199695,5.525135666,-0.955256942,0.16830498,0.997189155
PI_109497_009,19,781,83.44003128,12.107608,-0.704932811,0.318930438,0.989416187
PI_109497_009,20,120,47.78550516,5.548067437,-1.181143457,0.240934346,0.993237113
PI_109497_009,21,440,55.73704622,16.78285801,-1.33591506,0.144714162,0.953590115
PI_109497_009,22,175,55.45103363,4.527666861,0.901272012,0.179304072,0.996660932
PI_109497_009,23,318,82.56347315,7.034321172,0.611836935,0.156640033,0.996363959
PI_109497_009,24,325,76.82043121,7.441178229,0.950860042,0.171059672,0.995297571
PI_109497_009,25,254,52.62709008,7.1416171,0.697043168,0.231291182,0.990749659
PI_109497_009,26,643,78.82741917,11.33272149,-0.252332955,0.195825153,0.989611676
PI_109497_009,27,390,57.27009553,9.19085589,0.623669901,0.277079359,0.987038664
PI_109497_009,28,542,91.57406979,12.24379645,0.616078777,0.161787341,0.991021346
PI_109497_009,29,208,24.47245623,11.86316193,0.443001524,0.646229172,0.87464961
PI_109497_009,30,716,76.20713913,12.39021214,0.862293189,0.284067425,0.98669438
PI_109497_009,31,357,96.39135166,5.380735771,-1.19324713,0.123201197,0.998440749
PI_109497_009,32,198,41.25007943,7.461643679,-0.735334005,0.345335542,0.983503705
PI_109497_009,33,373,51.72761364,11.26666631,1.440713893,0.247184888,0.975991731
PI_109497_009,34,884,92.75706165,12.36627649,0.68715144,0.259129469,0.991073181
PI_109497_009,35,478,75.30062287,9.10799656,0.438490423,0.213708256,0.992657976
PI_109497_009,36,129,24.23202939,8.049029621,1.279148256,0.496974626,0.943221331
PI_109497_009,37,511,43.3944108,15.536601,0.428803723,0.509534374,0.933709198
PI_109497_009,38,210,28.39444713,11.54748052,-1.150640324,0.434802366,0.913570255
PI_109497_009,39,617,71.24580809,11.11652713,-0.213691258,0.320955937,0.98775222
PI_109497_009,40,436,62.70302653,11.19732662,-1.20389456,0.197291372,0.983925916
PI_109497_009,41,659,79.16472229,10.68728581,0.420454527,0.270753157,0.990845515
PI_109497_009,42,259,51.86606062,7.600635408,1.27474194,0.210664849,0.989204223
PI_109497_009,43,225,49.33480265,7.279089148,1.459063898,0.217899285,0.989055387
PI_109497_009,44,727,73.45724973,13.00460009,-1.543626113,0.332456435,0.984204322
PI_109497_009,45,670,86.43196501,10.79748678,1.366447761,0.193920878,0.992166226
PI_109497_009,46,658,66.73003306,12.79536275,0.842994899,0.396664499,0.981444157
PI_109497_009,47,808,85.3871728,12.44547713,-0.171449258,0.268487927,0.989320941
PI_109497_009,48,660,86.31666203,11.5617426,1.493689265,0.148963263,0.990988678
PI_109497_009,49,206,70.81083135,8.663751337,-1.046588779,0.172014053,0.992486936
PI_109497_009,50,324,72.79002526,9.202060305,1.480171993,0.143335414,0.991976902
PI_109497_009,51,732,85.91454364,11.28841038,-1.223379706,0.218528433,0.991330604
PI_109497_009,52,732,71.33431473,13.31160784,-0.161630757,0.336686616,0.982434309
PI_109497_009,53,170,25.110218,9.317817714,0.160824401,0.570123011,0.928602206
PI_109497_009,54,565,67.98917467,11.02557133,0.081272325,0.325466454,0.986763398
PI_109497_009,55,821,83.88743686,13.56115921,0.675831343,0.235146456,0.986846679
PI_109497_009,56,767,79.40582413,12.39716941,0.413911461,0.320153217,0.987737434
PI_109497_009,57,890,78.60487165,14.96707189,0.941668897,0.338011822,0.981704858
PI_109497_009,58,186,59.44785659,4.720293474,-0.115922269,0.174395028,0.996842657
PI_109497_009,59,110,37.47635586,4.272082043,-0.094869271,0.261804126,0.993481431
PI_115358_005,1,210,62.39209936,4.924813035,1.524199582,0.188954968,0.996879901
PI_115358_005,2,754,74.42641025,13.17455085,-0.541322722,0.326668875,0.984208251
PI_115358_005,3,796,69.99276852,14.54079407,0.876572707,0.425193893,0.978182573
PI_115358_005,4,700,71.576309,12.51263353,1.437268817,0.359327518,0.984601246
PI_115358_005,5,711,69.95803562,13.127443,0.811411806,0.351263116,0.982236456
PI_115358_005,6,585,62.82130612,12.23045446,1.203618014,0.343949744,0.980865537
PI_115358_005,7,657,63.94585395,13.23599033,-0.16940181,0.399628172,0.978343594
PI_115358_005,8,386,49.79033282,13.34152503,0.706158615,0.259756505,0.963431672
PI_115358_005,9,173,21.77658976,10.72727995,-1.025024846,0.688706641,0.870252421
PI_115358_005,10,142,41.39085312,8.794881795,0.919238654,0.28260502,0.97716461
PI_115358_005,11,345,48.71715209,10.69196669,-0.975558687,0.288525705,0.975619188
PI_115358_005,12,759,78.25649797,12.6608674,0.626405527,0.302655071,0.986825737
PI_115358_005,13,738,72.63954238,13.42082119,0.958323065,0.307041424,0.982783827
PI_115358_005,14,633,73.79996769,11.98416196,0.288224979,0.238186316,0.986727132
PI_115358_005,15,678,75.79476432,11.72141573,0.442765061,0.276907683,0.987969825
PI_115358_005,16,820,78.07414615,13.80388361,-0.308629938,0.280058179,0.984245937
PI_115358_005,17,720,82.84771591,11.4286844,0.202150149,0.24850476,0.99043946
PI_115358_005,18,683,78.4709584,11.13017782,-0.623960889,0.307614915,0.989889858
PI_115358_005,19,402,65.23000969,8.403621028,1.230798301,0.209178358,0.991666616
PI_115358_005,20,388,77.71695058,9.243820347,0.939175287,0.149167378,0.992901187
PI_115358_005,21,326,51.91831054,9.613833712,0.326313807,0.215481869,0.982706067
PI_115358_005,22,728,76.59337635,12.34621185,-0.335663343,0.289561311,0.986923125
PI_115358_005,23,428,56.50960956,10.90393682,-1.320295783,0.288521587,0.981207172
