Image_Name,Seed,Mean_Red,Mean_Green,Mean_Blue,Area,Length,Width
BEACON_6X_016.tif,1,225.7134643,177.0712346,131.9953682,6261,206.9182248,39.31872465
BEACON_6X_016.tif,2,195.4978558,160.5673814,127.3078622,7695,224.0616684,44.92640442
BEACON_6X_016.tif,3,240.1074705,190.9552206,135.8593272,4578,211.0258719,28.23038367
BEACON_6X_016.tif,4,227.6666667,150,104.3333333,3,3.464101615,1.154700538
BEACON_6X_016.tif,5,235,144,94,1,1.154700538,1.154700538
BEACON_6X_016.tif,6,249,165,116,1,1.154700538,1.154700538
BEACON_6X_016.tif,7,215.8888199,161.0127329,110.8142857,6440,216.3836063,38.7126137
BEACON_6X_016.tif,8,206.9349938,155.5387741,109.8265324,5661,207.1124761,35.2374713
BEACON_6X_016.tif,9,228.4971596,179.272494,132.8246289,5457,193.9630921,36.46429912
BEACON_6X_016.tif,10,204.0031452,150.1256244,100.0825162,5405,174.2241373,39.86263847
BEACON_6X_016.tif,11,207.0447039,156.7943286,112.9823186,5995,200.1404093,38.68491944
BEACON_6X_016.tif,12,211.6849483,163.3185562,119.7145611,5707,197.7819498,37.23195484
BEACON_6X_016.tif,13,214.5831382,160.7685757,106.4456036,4697,186.3792384,32.38441309
PI_206268_2X_007.tif,1,222.3853565,177.7133911,136.8150289,2076,143.0671147,18.64276888
PI_206268_2X_007.tif,2,232,142,81,2,2.309401077,1.154700538
PI_206268_2X_007.tif,3,235.6276824,190.9155937,147.6362661,2796,165.6181078,21.88070693
PI_206268_2X_007.tif,4,220.8583201,177.5042789,141.140412,3155,152.8254823,26.51945164
PI_206268_2X_007.tif,5,215.9440994,179.3240166,143.0341615,2898,142.7829255,26.09941765
PI_206268_2X_007.tif,6,238.7724333,190.8128537,146.0990299,2474,141.4082666,22.78461016
PI_206268_2X_007.tif,7,235.4314502,186.5944584,143.7034905,2779,169.8711747,21.06372995
PI_206268_2X_007.tif,8,243.4809648,194.0773031,146.5696019,3441,163.8623418,27.14771392
PI_206268_2X_007.tif,9,255,225,187,1,1.154700538,1.154700538
PI_206268_2X_007.tif,10,229.7152236,174.2942142,126.4271645,2437,157.2349126,20.28291209
PI_206268_2X_007.tif,11,244,157,100,1,1.154700538,1.154700538
PI_206268_2X_007.tif,12,241,152,93,1,1.154700538,1.154700538
PI_206268_2X_007.tif,13,240.6398641,201.203473,162.1687429,2649,168.5258846,20.84418587
PI_206268_2X_007.tif,14,233.7012528,188.0285898,143.3045294,3113,160.3715952,25.04377057
PI_234896_6X_012.tif,1,227.0721831,177.5190461,117.0824264,6248,208.9377384,38.43922961
PI_234896_6X_012.tif,2,233.8305378,194.0102503,138.628328,7512,214.8516472,44.85043382
PI_234896_6X_012.tif,3,237.8475228,193.1352506,119.86418,7024,240.9459924,37.83422906
PI_234896_6X_012.tif,4,226.762738,180.8912335,120.2978212,5829,202.101624,37.86761768
