"Ploidy","Accession","sampled_seeds","mean_area","mean_length","mean_width"
"2X","PI_109497",18,565.222222222222,74.0663134888889,11.6950512171667
"2X","PI_115358",30,615.966666666667,69.9620865066667,11.842003616
"2X","PI_189146",22,498.090909090909,59.2752676,11.7042539766364
"2X","PI_206268",15,523.066666666667,70.988526426,10.8624963446
"2X","PI_206561",38,668.710526315789,76.7578901134211,12.5708557611316
"2X","PI_234478",23,728.652173913043,78.8906640304348,14.6042694599565
"2X","PI_234897",36,769.638888888889,85.6184990463889,12.8060056961111
"2X","PI_237179",13,380.307692307692,50.0395295953846,11.4226128058462
"2X","PI_249739",25,476.28,71.7311685808,10.17285576608
"2X","PI_250965",27,711.111111111111,80.1840246966667,12.0259704348148
"2X","PI_251384",21,1397.95238095238,87.5342525357143,23.7016936014286
"2X","PI_251421",19,683.473684210526,78.8075984347368,12.4076890794737
"2X","PI_257740",20,605.25,62.3904689715,12.906487988
"2X","PI_257741",28,679.464285714286,72.6744507210714,14.8583501228571
"2X","PI_314571",15,553.4,73.630114666,11.8816717156667
"2X","PI_314687",16,667,75.1880817075,13.0142672976875
"2X","PI_383651",27,449.222222222222,70.2713928907407,10.6769856438889
"2X","PI_383652",25,511.28,64.6366562864,12.27756483952
"2X","PI_422463",14,655,69.9089453157143,13.5413432828571
"2X","PI_499640",22,742.409090909091,75.7879880268182,13.1777376818182
"2X","PI_538934",19,447.105263157895,50.6419407689474,12.1386741959474
"2X","PI_568183",16,522.1875,67.103916465625,11.3397209833125
"2X","PI_578733",18,604.333333333333,78.5017474694444,11.2791466672222
"2X","PI_595130",11,542,74.3053893490909,11.3184944565455
"2X","PI_595140",20,453.15,66.4030984335,10.99716016345
"2X","PI_595145",15,678.4,83.3917322093333,11.4546142962667
"2X","PI_595146",15,641.866666666667,79.6884977373333,12.013769096
"2X","PI_595158",11,523.727272727273,73.2190848854545,10.95175162
"2X","PI_595167",16,541.6875,77.472120605,11.020866538375
"2X","PI_595170",25,550.08,68.0350246212,12.04093484368
"2X","PI_595178",19,486.105263157895,71.4844961452632,11.051404871
"2X","PI_618972",22,626.454545454545,75.1106638654545,14.6379452245455
"2X","PI_618975",21,649.238095238095,77.3453562661905,12.191322607381
"2X","PI_634303",18,625.388888888889,77.01763679,12.6294883045
"2X","PI_634304",17,470.294117647059,68.4227585935294,11.0768456955294
"2X","PI_636567",26,694.538461538462,77.5567129676923,12.0884635826923
"2X","PI_655206",25,725.8,69.8377163232,14.0023835544
"2X","PI_676177",13,645.769230769231,69.4828616538462,13.2768321576923
"4X","PI_227362",20,945.5,91.525196039,14.4463033085
"4X","PI_227507",18,1056.27777777778,88.2592759455556,16.7430097361111
"4X","PI_229453",16,1082.5,99.04818777375,14.965597056875
"4X","PI_229497",18,1074.22222222222,90.3515709155556,15.944406505
"4X","PI_229502",16,1012.375,92.556921211875,15.648418911875
"4X","PI_234758",20,1209.3,99.4873690585,16.526567296
"4X","PI_234895",18,794.944444444444,92.8685802855556,15.7136986522222
"4X","PI_237708",16,765.3125,70.440585213125,14.64825442875
"4X","PI_251123",20,664.85,79.436175066,12.50843618925
"4X","PI_251125",22,938.954545454545,88.569324545,15.3991784354545
"4X","PI_251127",20,922.7,85.273724444,15.821057992
"4X","PI_251128",16,978.625,91.0618114125,15.678594313125
"4X","PI_251131",10,703.5,79.489725021,12.8247195599
"4X","PI_287541",14,860.785714285714,85.3567428242857,14.5064844942857
