Image_Name,Ploidy
PI_206561_002,2X
PI_383651_003,2X
PI_383652_004,2X
PI_115358_005,2X
PI_257741_006,2X
PI_189146_008,2X
PI_109497_009,2X
PI_249739_010,2X
PI_314571_011,2X
PI_636567_012,2X
PI_634304_013,2X
PI_595140_014,2X
PI_655206_015,2X
PI_234478_016,2X
PI_237179_017,2X
PI_250965_018,2X
PI_251384_019,2X
PI_499640_020,2X
PI_595178_021,2X
PI_595170_022,2X
PI_538934_023,2X
PI_618972_024,2X
PI_618975_025,2X
PI_314687_026,2X
PI_634303_027,2X
PI_595167_028,2X
PI_595158_029,2X
PI_595146_030,2X
PI_595145_031,2X
PI_595130_032,2X
PI_568183_033,2X
PI_578733_034,2X
PI_234897_035,2X
PI_257740_036,2X
PI_251421_037,2X
PI_383653_038,4X
PI_237708_039,4X
PI_634302_040,4X
PI_229502_041,4X
PI_229453_042,4X
PI_234758_043,4X
PI_316249_044,4X
PI_227362_045,4X
PI_229497_046,4X
PI_227507_047,4X
PI_383654_048,4X
PI_383650_049,4X
PI_384860_050,4X
PI_312453_051,4X
PI_251125_052,4X
PI_234895_053,4X
PI_340103_054,4X
PI_595051_055,4X
PI_595063_056,4X
PI_595062_057,4X
PI_595061_058,4X
PI_595060_059,4X
PI_595059_060,4X
PI_595050_061,4X
PI_595049_062,4X
PI_302900_063,4X
PI_302898_064,4X
PI_287541_065,4X
PI_577098_066,4X
PI_577099_067,4X
PI_251131_068,4X
PI_380854_069,6X
PI_229456_070,6X
PI_380853_071,6X
PI_251385_072,6X
PI_229533_073,6X
PI_380857_074,6X
PI_250967_075,6X
PI_380852_076,6X
PI_380855_077,6X
PI_380849_078,6X
PI_230247_079,6X
PI_537103_080,6X
PI_384861_081,6X
PI_371896_082,5X
PI_315448_083,5X
PI_314523_084,5X
PI_251126_085,5X
PI_274619_086,5X
PI_234751_087,5X
PI_380850_088,5X
PI_311405_089,5X
PI_314522_090,5X
PI_538933_092,5X
PI_318989_093,8X
PI_234750_094,8X
